experiment_type,experiment_name,layers,units,bidirectional,final_train_loss,final_val_loss,final_train_acc,final_val_acc,test_f1_score,epochs_trained
Layer_Effect,Single_Layer,1,[64],True,0.013566866517066956,1.073614239692688,1.0,0.5400000214576721,0.5452601746828935,10
Layer_Effect,Two_Layers,2,"[64, 32]",True,0.006498886737972498,1.0925887823104858,1.0,0.5600000023841858,0.4888358600668253,10
Layer_Effect,Three_Layers,3,"[64, 32, 16]",True,0.05172685161232948,1.493404746055603,1.0,0.4399999976158142,0.4591125983764021,10
Units_Effect,Small_Units,2,"[32, 16]",True,0.027163591235876083,1.050719141960144,1.0,0.6000000238418579,0.5579515417994613,10
Units_Effect,Medium_Units,2,"[64, 32]",True,0.005882096476852894,1.2139438390731812,1.0,0.5699999928474426,0.4641968981618046,10
Units_Effect,Large_Units,2,"[128, 64]",True,0.005479287821799517,1.6233633756637573,1.0,0.4699999988079071,0.40679376546926216,10
Direction_Effect,Unidirectional,2,"[64, 32]",False,0.020237702876329422,1.3629822731018066,1.0,0.6200000047683716,0.5551105562553179,10
Direction_Effect,Bidirectional,2,"[64, 32]",True,0.010722988285124302,1.2356126308441162,1.0,0.46000000834465027,0.5342865229422112,10
